Minisector,ANT,LEC,Fastest
0,270.30142777563475,273.3565139003752,LEC
1,255.01788283614619,250.72682185043476,ANT
2,126.59753954424242,122.30797065502398,ANT
3,166.788855968354,174.35562867642858,LEC
4,203.29896261946448,195.50861479801858,ANT
5,192.93954636478097,199.32146725583814,LEC
6,262.65699150169274,264.80980141714286,LEC
7,286.708947671579,286.9132007017544,LEC
8,249.76739973904762,245.54214405547725,ANT
9,150.53654248485176,151.83461371020474,LEC
10,122.26515036249172,121.13830288158762,ANT
11,161.23026454089236,164.41183676765868,LEC
12,238.4475506955665,246.54561136900432,LEC
13,165.93822763754824,153.7658150859011,ANT
14,147.3262667733432,138.2792694467668,ANT
15,109.94062069907454,107.1295772529445,ANT
16,210.72630565939886,212.5663378697143,LEC
17,240.85709409158005,242.5296306415054,LEC
18,118.99511566788358,129.65732149867245,LEC
19,237.41812022194617,235.60427180215873,ANT
20,271.89768392689774,275.78185292631576,LEC
21,218.00365973278912,195.2618081021744,ANT
22,140.62462150763432,147.1973748656151,LEC
23,215.22518882763922,217.9837178294906,LEC
24,229.8802269372544,233.04868535905226,LEC
25,256.7666645333333,,ANT
