Minisector,LEC,STR,Fastest
0,282.25726526295364,278.51955380796505,LEC
1,124.05767512746156,123.6787161075202,LEC
2,158.7479692728452,157.78660398118043,LEC
3,218.8958106813187,207.96750688484846,LEC
4,158.69860874752928,159.64789667590523,STR
5,239.03265722597405,241.4474663064935,STR
6,213.68014990180845,217.17007622194618,STR
7,134.83269284547768,130.1402307501816,LEC
8,230.90937814764015,230.3338676166234,LEC
9,274.26386554452796,280.72845413438984,STR
10,280.4600762085137,285.83816672466685,STR
11,146.54198954754648,139.78007873888708,LEC
12,213.1750980682473,214.77713029906985,STR
13,266.90781749841267,266.8860720839506,LEC
14,268.7034280747475,257.1892317741177,LEC
15,96.52282039363064,96.75290557376483,STR
16,219.16848586155285,210.7247672023088,LEC
17,270.679942472671,273.8021641441423,STR
18,290.6256022408964,301.86695102372187,STR
19,302.03349678580764,318.5157777208889,STR
20,308.48518643608685,328.7392523579737,STR
21,287.1467857015873,266.59225100011207,LEC
22,153.7775117177216,143.10432625382035,LEC
23,230.03844749913043,233.9930739741799,STR
24,274.30097219812416,282.93784711064654,STR
25,287.57660317297325,,LEC
