Minisector,VET,MAG,Fastest
0,288.9560128389312,288.1870856486544,VET
1,195.31111041645403,195.10720860063702,VET
2,226.29759110575327,227.20114289753252,MAG
3,270.5656829678134,270.96248411299723,MAG
4,239.26593070292478,230.8326397574251,VET
5,128.04067947484833,126.06921478445646,VET
6,212.72134436153647,209.50246094042225,VET
7,257.1820789377453,256.4734304317113,VET
8,200.8530144789835,204.3130730189999,MAG
9,205.5072982927861,207.8511613666329,MAG
10,262.09777634888826,261.9916225979027,VET
11,208.28335376976048,204.64124028440085,VET
12,177.57257180786962,177.4768396312303,VET
13,258.01124815920684,256.07125769433105,VET
14,280.3606951673824,276.97202825486653,VET
15,256.41401444848486,256.787557442551,MAG
16,236.81150490728706,238.8934621508915,MAG
17,272.0672619459619,270.342304451212,VET
18,285.47918932048896,283.12141609071637,VET
19,176.7846103567655,175.16597533907665,VET
20,207.9322329052956,212.15212726281055,MAG
21,170.01089923896782,166.98990782569015,VET
22,140.8678400438401,144.01234029462415,MAG
23,238.16765482533688,237.02095519053023,VET
24,276.67542165669676,275.5088892305231,VET
