Minisector,STR,KVY,Fastest
0,295.861131734166,290.9664500516914,STR
1,196.46554504987066,193.1788251836727,STR
2,225.83730021514904,227.68809272477392,KVY
3,268.9980158984127,272.76544071406926,KVY
4,230.3679703730838,227.6742561051396,STR
5,126.4416885147589,123.30442220770344,STR
6,210.94451392569943,213.46637389189146,KVY
7,255.30936038919572,256.2928637164933,KVY
8,206.5181375457544,201.77141133698152,STR
9,206.86827029568516,209.06747318962087,KVY
10,262.36275917996505,262.793771826051,KVY
11,208.8174153300501,201.16684018243816,STR
12,177.9703499213865,184.78035518449468,KVY
13,260.86032366754824,261.59186916335557,KVY
14,281.1016058115869,280.05683172868567,STR
15,256.5141928296034,259.09914326557157,KVY
16,242.41712191585464,244.63285993649123,KVY
17,273.8576377292355,273.7627064768914,STR
18,280.0753400453515,286.6756218188381,KVY
19,171.672522506885,179.11986115320616,KVY
20,211.99003463519216,210.46910949747442,STR
21,170.86539191110293,164.85300564901084,STR
22,144.0051549778839,144.0921873456923,KVY
23,237.55133883669143,241.1143455761192,KVY
24,280.8283012159541,282.01382685094507,KVY
