Minisector,LEC,BOT,Fastest
0,284.2882060882563,275.69622650385963,LEC
1,112.08921616653497,112.38635654137317,BOT
2,166.77141153400402,159.27061351971327,LEC
3,208.3188788193132,195.8197901521049,LEC
4,165.32567223355022,151.4554314653122,LEC
5,242.62546998071426,236.47146583284876,LEC
6,190.28200497936027,197.5308623230525,BOT
7,136.9059964557623,128.50675286546502,LEC
8,234.91654748030302,240.73502844835164,BOT
9,272.7143419793547,280.1584675257143,BOT
10,273.50925626912715,282.2022595453968,BOT
11,147.3958869908304,139.36520448573333,LEC
12,220.14529379447438,217.8240674650505,LEC
13,266.3293863041604,263.78302831178917,LEC
14,254.60357463288886,263.0610840176367,BOT
15,99.6369381877086,99.10825267277464,LEC
16,219.69305673387416,216.71295768205042,LEC
17,271.3645919181105,271.15082073241314,LEC
18,293.14118458,302.83492258,BOT
19,305.022841701813,319.62469824234427,BOT
20,311.1918816160847,329.36620340857286,BOT
21,280.1589285123271,301.5836279020408,BOT
22,152.11564407809996,139.68937509571015,LEC
23,233.7219451387707,227.98640237103396,LEC
24,278.55472480717475,279.75986312421054,BOT
25,,298.09375008,BOT
