Minisector,GAS,NOR,Fastest
0,291.4635416533333,289.17187504,GAS
1,232.8860908964263,209.9149095013278,GAS
2,144.81745579557725,142.9749654772487,GAS
3,219.66275883949555,221.07792902273073,NOR
4,163.1660157,154.58785846857143,GAS
5,169.0862826420891,175.74395953135874,NOR
6,247.59387755102043,248.83315102608697,NOR
7,271.7463094857143,269.8239345162907,GAS
8,279.28055555555557,277.3311402105263,GAS
9,235.8677084,251.96686628571427,NOR
10,228.07819444444445,241.20798656091668,NOR
11,232.98647186147184,240.84365231746034,NOR
12,203.4676281025641,204.19976631083304,NOR
13,138.29285356858614,141.87795674628475,NOR
14,148.23401594069253,148.34285550406713,NOR
15,177.3063887593651,188.2800785142857,NOR
16,254.00505424141426,255.492004076262,NOR
17,233.43167701863354,242.11193575757576,NOR
18,112.66443861946472,113.18498251111112,NOR
19,195.2421294617284,201.85897222564103,NOR
20,188.6728330957319,191.78358551798956,NOR
21,227.08972561490683,232.56412911304346,NOR
22,261.1497004775075,259.6676376540722,GAS
23,277.2739137156924,275.6582851186085,GAS
24,286.3500000533333,285.65833313684215,GAS
