Minisector,NOR,MAG,Fastest
0,297.57046151898345,314.5837963407407,MAG
1,222.39690479714938,201.51222668031383,NOR
2,232.36437700266666,226.03264640266832,NOR
3,276.70591447377365,282.5409007554411,MAG
4,253.31532172240267,254.00040584415584,MAG
5,131.061067129403,123.96935417714572,NOR
6,209.31151927488557,209.8768878607365,MAG
7,265.3383879205442,263.26937499999997,NOR
8,255.1129116147131,250.4709390109091,NOR
9,241.19114790464272,234.43817319127095,NOR
10,278.0179683213382,278.82223848760447,MAG
11,294.30936717381513,300.96803513904763,MAG
12,305.3375055158277,318.69407738095236,MAG
13,309.970916008283,329.5025306948023,MAG
14,310.02083352470584,335.025481024127,MAG
15,271.03090911883544,259.798123500473,NOR
16,253.37153710309633,237.4728599559925,NOR
17,282.5122698710204,282.43911564625853,NOR
18,294.9576184693498,302.09118062789696,MAG
19,164.73799660025912,156.35097454282587,NOR
20,210.50666255782312,205.4357359506774,NOR
21,185.81345197876826,179.21079191428387,NOR
22,138.73608129127027,134.0175736679508,NOR
23,243.87064628520235,241.91324790949406,NOR
24,284.6832328488493,283.66480200368994,NOR
25,,295.5312496,MAG
