Minisector,RUS,BOT,Fastest
0,280.03725054839003,286.99722960380956,BOT
1,150.00580410233198,148.21191287496853,RUS
2,179.39569966389962,166.2261102419853,RUS
3,249.77236125102368,244.98149179193678,RUS
4,280.7466079344427,279.5763065837968,RUS
5,242.60013945541166,230.33979867581692,RUS
6,225.68809458637588,204.44464442549634,RUS
7,156.7223317688889,152.9392574358155,RUS
8,232.32851530793653,231.74779037338843,RUS
9,279.7053844125888,280.0911441201296,BOT
10,297.36239737797956,296.94980676184446,RUS
11,304.58052450865677,305.67756581894736,BOT
12,307.30341539954657,310.2135507998508,BOT
13,296.6993307498565,305.0557902455105,BOT
14,128.55946097040132,128.87115297328964,BOT
15,119.33816934543952,120.59462669980242,BOT
16,100.51639247179249,94.90211862247676,RUS
17,234.8728928799825,231.3069439843296,RUS
18,286.89428478154497,282.03513609087406,RUS
19,302.28771930760234,302.3481791555252,BOT
20,309.9121202873686,311.29902492865324,BOT
21,307.45805623318904,315.20115081650795,BOT
22,130.42432938779157,131.40658217176568,BOT
23,204.60013076820593,193.31325404843864,RUS
24,266.95717991201366,264.8173341522322,RUS
25,,279.63499904,BOT
