Minisector,PIA,HUL,Fastest
0,276.69786805333337,277.1268766043408,HUL
1,297.9681693881097,295.04437982545403,PIA
2,298.8135861312253,292.96572778013984,PIA
3,174.37441925358956,184.835494931784,HUL
4,118.94723244166845,122.08257948385729,HUL
5,238.63385195539394,236.04791167030163,PIA
6,282.27897606278685,279.0041092133568,PIA
7,298.6317080888889,292.5231724372169,PIA
8,184.7638039452754,186.93773848743584,HUL
9,144.7187463493283,147.92487160104466,HUL
10,255.2849998206061,249.21294998726978,PIA
11,291.1423351209975,287.2332123985185,PIA
12,305.1365252593513,299.2727283965016,PIA
13,290.33402459447007,282.026088296871,PIA
14,298.9018195453291,297.250397137974,PIA
15,302.1432737834921,303.7707630422668,HUL
16,268.69505676045435,262.9693379959192,PIA
17,239.71040563809524,224.5638395359365,PIA
18,281.64933515948076,272.1770568465064,PIA
19,300.9000642225245,295.06416381612075,PIA
20,307.93000039921884,299.8735920921212,PIA
21,252.35149865306124,248.1221574088232,PIA
22,268.59103598985973,259.6750007072464,PIA
23,138.48394211658223,147.2472860154279,HUL
24,220.39794280290832,203.9535150166796,PIA
25,,253.24500032,HUL
