Minisector,GAS,SAI,Fastest
0,287.54014821290235,306.66245073693267,SAI
1,297.97109366666666,324.2275000177778,SAI
2,301.4593137389356,334.3509523809524,SAI
3,302.11718833333333,321.5255204,SAI
4,178.29635029487852,165.44688005648604,GAS
5,212.8642709697834,213.9254411541973,SAI
6,242.3073172039239,241.9797915504762,GAS
7,266.1914513804727,268.19398157037034,SAI
8,264.0288553463659,256.8739033267093,GAS
9,169.10860665502602,164.27069918279568,GAS
10,232.55059423492062,228.9639209939394,GAS
11,138.66921870771904,133.17289767716568,GAS
12,223.7177187336475,227.90411229530136,SAI
13,197.34801984561713,186.45406701584344,GAS
14,212.3437479111111,221.2960880142565,SAI
15,247.90000904830717,246.50735236667342,GAS
16,260.640976641604,263.9897919542857,SAI
17,281.94563639183497,285.36767160685207,SAI
18,139.24621244310777,126.33379504917494,GAS
19,164.29859099954024,163.33624134184817,GAS
20,149.05335695933672,149.9281575168901,SAI
21,172.18887497024255,160.4472351262673,GAS
22,120.70365780813007,119.48596912617421,GAS
23,224.47180572813852,233.66649572852705,SAI
24,265.4580806330485,271.613970572549,SAI
25,277.9124992,,GAS
