Minisector,HAD,LAW,Fastest
0,280.42188096628036,285.03366304839744,LAW
1,287.62189117254525,299.93296402739776,LAW
2,273.3648128051098,280.31443291812326,LAW
3,174.14522480774056,162.14861779929825,HAD
4,116.22647836035298,114.18707103307032,HAD
5,244.25856073612465,240.60669807545864,HAD
6,285.8601324901587,287.40920252554866,LAW
7,291.8989922873252,291.53292790567616,HAD
8,175.80023461869487,166.8008125418915,HAD
9,140.53437143710602,139.56817161147913,HAD
10,257.76695751566376,253.51955395307522,HAD
11,292.22595248761905,287.54375694506666,HAD
12,292.95138828270177,289.25628309140507,HAD
13,267.67752550937814,263.2628910815949,HAD
14,281.3620535714286,281.6186002720999,LAW
15,276.43307166333966,277.2130439113651,LAW
16,245.48765432098767,236.0076044579378,HAD
17,219.06336697747128,214.2252370279301,HAD
18,275.55518922358857,280.35446846687273,LAW
19,297.4031570858035,299.81152594285714,LAW
20,296.7013888888889,298.2252776533333,LAW
21,228.856237597551,214.56752742618377,HAD
22,238.21803412557574,245.64604573706671,LAW
23,134.160701360842,126.49556560113211,HAD
24,213.2107631709789,213.44846651625193,LAW
