Minisector,ALO,BOR,Fastest
0,264.0330026903704,267.8937841542562,BOR
1,282.5936861405195,287.0344276355556,BOR
2,289.013902846675,291.90977564024604,BOR
3,134.15025109152594,133.32571965748164,ALO
4,194.4180983287664,195.98449907386396,BOR
5,253.65201202008436,253.66014657923097,BOR
6,139.32340720256002,139.99204475259637,BOR
7,204.8222648353347,207.9056748608919,BOR
8,257.0956246156211,258.1654840674143,BOR
9,277.81482832941174,277.3316762772161,ALO
10,242.3605678335194,235.37428795292234,ALO
11,192.7238223255599,187.0982578143818,ALO
12,188.6400562919472,194.5774187066481,BOR
13,142.28764931399462,145.14353935820193,BOR
14,179.27813606672183,172.29232796249306,ALO
15,164.79274334733432,165.84642409494504,BOR
16,215.64496237805807,217.5941229190418,BOR
17,240.64707288126985,237.25971265904764,ALO
18,244.85062052836437,240.91244294603175,ALO
19,239.20091211626146,252.7761931940189,BOR
20,145.8851399306034,142.28678262508842,ALO
21,139.277371060262,130.53650075435573,ALO
22,169.17352995434032,168.66791176354917,ALO
23,150.18786787433808,152.1941564901515,BOR
24,228.70160983000483,225.7041835500076,ALO
25,252.04167040000002,252.0,ALO
