Minisector,BOT,RUS,Fastest
0,233.14811129540712,231.18850057505736,BOT
1,287.7830582961294,282.95650048,BOT
2,312.97951368888886,296.7380987732802,BOT
3,323.14715985721557,305.0253623652174,BOT
4,286.0751925679951,259.12970198368174,BOT
5,162.37480746918695,160.0087392374616,BOT
6,257.16987106161827,260.7966636349936,RUS
7,273.7011218051282,273.7703060743838,RUS
8,209.9063353361243,207.47596828275096,BOT
9,216.14982584200072,216.83945337719695,RUS
10,183.22111465956422,172.11483600650408,BOT
11,220.08228722537947,219.23723779610737,BOT
12,200.575857560484,194.82724770461104,BOT
13,206.38988901225272,202.22767751260503,BOT
14,214.58442082055524,209.1586915703746,BOT
15,177.69647636327872,171.11549184009115,BOT
16,243.8509656574441,242.41391887069787,BOT
17,283.9018980636908,284.373397825641,RUS
18,294.21336810158726,297.5488299835728,RUS
19,280.4352561230769,286.1138324906667,RUS
20,129.31229474851867,127.00052477275666,BOT
21,158.3422618560067,152.4424853918372,BOT
22,151.45363387071936,143.47733964921906,BOT
23,202.78417089821886,200.01841800881766,BOT
24,147.90708929478788,139.27327861529778,BOT
25,185.96250239999998,,BOT
