Minisector,RIC,SAI,Fastest
0,253.7993064002867,255.4722861904664,SAI
1,204.00871146706632,205.34700721881077,SAI
2,220.53360347040993,222.56362795560202,SAI
3,262.3168484957945,259.7814523395795,RIC
4,275.20459673444225,268.50730178136905,RIC
5,223.6724128639586,214.40233213941417,RIC
6,99.16231164448804,96.83546126358883,RIC
7,186.53881121880167,193.02665238354678,SAI
8,268.8846696006417,275.4316144341667,SAI
9,291.7484310189974,299.56107898303003,SAI
10,301.4765281635119,310.5108644896948,SAI
11,300.7776861071241,304.7515991219029,SAI
12,116.84760504828942,109.38491154809535,RIC
13,215.179227753094,215.88253492291423,SAI
14,274.1062901571746,277.4119432847061,SAI
15,293.9452026829548,294.82455785060904,SAI
16,226.4027719962829,217.79317730160992,RIC
17,123.84528126834401,126.84396422110584,SAI
18,154.0765422802305,155.33758479776913,SAI
19,251.09356127357637,255.49101802114103,SAI
20,157.8343584343864,153.26144202374795,RIC
21,130.0123374225168,130.90838122125697,SAI
22,202.92502115229098,208.01050011283144,SAI
23,209.20622379146974,198.9797745736135,RIC
24,169.19490637807286,172.12073442019505,SAI
25,,233.7250048,SAI
