Minisector,VER,SAI,Fastest
0,276.411362108993,274.3979332969428,VER
1,292.0867869777492,289.08118280084653,VER
2,289.07419158919026,284.6467446088596,VER
3,180.55895952739203,174.37505451029972,VER
4,134.22432221087053,133.33130566817292,VER
5,243.46106943649596,246.3994159325705,SAI
6,283.93614871147633,282.0289229241796,VER
7,288.560725859125,281.1726200278177,VER
8,176.78448245912585,177.08361664242446,SAI
9,146.68220427366592,147.0244597094782,SAI
10,255.11088623455444,254.41490427034645,VER
11,286.1696521713598,284.14357108717127,VER
12,296.04314179859824,287.7756533534651,VER
13,282.887447565974,275.25442483219393,VER
14,298.1290599952278,291.2363219367267,VER
15,294.9832506907982,299.0210307224268,SAI
16,256.1231590871111,263.17466332989784,SAI
17,240.67932612170512,240.06143174826366,VER
18,285.5513623265806,283.200673905681,VER
19,305.1211111111111,300.46522807038554,VER
20,306.28666663860906,304.49142633509433,VER
21,225.6102092267148,228.05626651693703,SAI
22,259.63921641042276,259.32163104894397,VER
23,141.69023472508692,136.69344269226704,VER
24,224.71001448510123,225.26975999378422,SAI
