Minisector,GAS,PIA,Fastest
0,258.5429188075924,259.80806613946874,PIA
1,133.0963838836227,131.812065285739,GAS
2,200.5995150311111,200.65713781604276,PIA
3,246.65267826622573,245.96894031238094,GAS
4,255.47272548923078,257.36745944533334,PIA
5,174.29139870236915,173.0870140533669,GAS
6,146.6783884083245,143.39129671013433,GAS
7,183.26449552007514,182.57352601147156,GAS
8,100.36663824936406,96.1693457642469,GAS
9,74.13282380458921,69.32740229531561,GAS
10,95.87819361969935,91.55487569600302,GAS
11,188.18498439944017,178.2440294675664,GAS
12,245.5160004395238,245.64727494518516,PIA
13,269.20658908542123,270.11581899831936,PIA
14,279.774577745887,272.27972110222225,GAS
15,109.81864522165495,106.71082799623642,GAS
16,146.88421332454598,143.82727843434972,GAS
17,185.51736645815873,178.4019747798167,GAS
18,194.9486864210224,191.85243819253375,GAS
19,202.43657005760286,204.97436812282828,PIA
20,136.63512754962963,131.21360320479843,GAS
21,108.04787053611754,109.99810957340549,PIA
22,100.35243284926277,92.20012981255991,GAS
23,196.3663054464762,195.83000786742804,GAS
24,248.46340352809523,250.4454161659259,PIA
25,262.99999743999996,,GAS
