Minisector,VER,RIC,Fastest
0,265.36271983157894,272.5669043279438,RIC
1,295.7606880005601,296.98194474666667,RIC
2,310.6141743523809,310.6088891022222,VER
3,318.0946428952381,319.9089286857143,RIC
4,322.571131047619,325.8061111466667,RIC
5,325.5,329.6167411047619,RIC
6,285.9559108142675,212.99166978235587,VER
7,112.12121466968524,108.5104027603513,VER
8,150.0901244569207,188.23162218435323,RIC
9,252.4321771851852,263.5902782222222,RIC
10,289.9333611351855,294.8178080916957,RIC
11,248.66984647971398,171.70877741450164,VER
12,93.5084852760096,99.12288223189138,RIC
13,110.86284732115621,119.4748200495238,RIC
14,214.2100386909091,225.73733764031675,RIC
15,188.27336904347825,188.84616571733332,RIC
16,222.5822708150392,223.95322905333333,RIC
17,184.59660231111113,179.413498752,VER
18,225.65064881397265,237.99517411929824,RIC
19,274.08563998095235,279.23124303680135,RIC
20,285.1350162825268,258.62996308994707,VER
21,152.21985591911687,150.36470782918587,VER
22,101.71385564965271,97.04681100583198,VER
23,120.79528499649122,126.90527437330768,RIC
24,203.94809048888888,223.12395260368618,RIC
25,,256.61666560000003,RIC
