Minisector,NOR,BEA,Fastest
0,288.5917139242548,296.46930316880116,BEA
1,159.56040705812595,154.75790322850105,NOR
2,149.1420672945266,153.76479554552105,BEA
3,226.35326873167435,224.88857898155604,NOR
4,286.1168762305845,289.35252258933184,BEA
5,288.2043142247619,288.3940522325457,BEA
6,140.3119273555954,140.15377174162106,NOR
7,135.5799337991121,132.36217717249878,NOR
8,139.86107344144654,131.97723096112847,NOR
9,187.9255142671977,185.93574452333334,NOR
10,126.29508218303413,127.22052832712455,BEA
11,124.28630023112846,121.89185950373214,NOR
12,169.08745418199914,162.0361466011954,NOR
13,270.26423179687754,268.40768555408425,NOR
14,291.08514737052155,293.0368135033535,BEA
15,150.77114000580562,140.0050874522079,NOR
16,200.14616312157682,199.45615012305447,NOR
17,176.0929037481612,169.84708028568033,NOR
18,270.92493046495787,272.5489610604442,BEA
19,293.7011024587239,298.0921771102041,BEA
20,308.69413241465753,313.39549166956783,BEA
21,316.94759835580953,322.5934771225397,BEA
22,321.89082884791446,326.1716669471605,BEA
23,324.49984313766237,328.5845648077398,BEA
24,323.00553244298334,327.6839729777778,BEA
25,319.0,324.0,BEA
