Minisector,BOT,PER,Fastest
0,233.14918018713226,230.62046782495003,BOT
1,283.1293081478594,283.0313329913834,BOT
2,297.5310471330797,299.3041159162772,PER
3,303.9537734242782,306.61304782803165,PER
4,277.05489682150323,275.1183394041562,BOT
5,170.37741334546902,164.94318482799517,BOT
6,262.46356064247203,259.5292810053604,BOT
7,280.4036182231495,279.4973365715933,BOT
8,220.18166565802622,210.99143421959963,BOT
9,224.8334964976547,216.7620920248461,BOT
10,186.81019733108496,183.64452419666583,BOT
11,225.73216994638898,222.93342609399804,BOT
12,208.88529929230643,203.90727417427155,BOT
13,214.56622062186923,211.4110833760981,BOT
14,223.34622220988842,220.21004292562708,BOT
15,185.1816285090382,176.74047250453918,BOT
16,246.56233669207074,242.64876311882898,BOT
17,285.3196452390194,286.4804657853765,PER
18,298.9506000642423,299.9411990772853,PER
19,288.33242956704845,287.53987576302336,BOT
20,132.38357508598634,130.86784041424937,BOT
21,164.17330400981433,171.6996608497814,PER
22,156.14016241948508,144.93583688177898,BOT
23,209.88859685540305,205.64130988501736,BOT
24,149.93534862302045,147.156369132613,BOT
25,188.38750293333334,178.80832426666666,BOT
