Minisector,BOT,PER,Fastest
0,251.72951297777777,248.27018423807434,BOT
1,281.39039569846756,280.0900508444444,BOT
2,174.66178816000001,165.41127123566346,BOT
3,172.9445411549941,167.7844040838095,BOT
4,261.64635821090263,260.2394515032205,BOT
5,277.21636587775635,263.0539116698413,BOT
6,234.84500096,213.01449941319052,BOT
7,206.7024912271147,194.86076957978548,BOT
8,165.70928331956986,152.37190573991606,BOT
9,221.49320794074072,223.75833259487177,PER
10,277.7098576074608,273.5026074340136,BOT
11,124.43788251097682,122.55601229441466,BOT
12,220.16944209382714,222.4963207248284,PER
13,272.2607703945578,274.5011959669607,PER
14,290.5961165061224,293.31805546666664,PER
15,296.9260964491228,299.130483443764,PER
16,230.75666819000173,204.20080419687474,BOT
17,140.02344885581397,134.46990966767947,BOT
18,141.43351329626353,136.21119665292468,BOT
19,124.85521753935208,122.92340716917352,BOT
20,234.53974557407932,226.13119039390477,BOT
21,260.71985863896106,252.62256924444443,BOT
22,240.15180324548678,221.89768525432098,BOT
23,216.8538138638448,204.0493915138454,BOT
24,149.03046732,145.65871978014889,BOT
25,224.53333333333333,,BOT
