Minisector,NOR,PIA,Fastest
0,276.7919076738047,276.0259317754386,NOR
1,304.9420166385331,301.20754797603564,NOR
2,326.828500288,314.57280998643273,NOR
3,337.64786259369316,321.1252232,NOR
4,342.8985161717223,322.95416666666665,NOR
5,332.93226994285715,325.5904761904762,NOR
6,199.20517228281903,219.35955008689342,PIA
7,104.99104154798648,107.26177128760173,PIA
8,184.7313488740736,177.4568503128836,NOR
9,265.0740521592053,258.29082369866944,NOR
10,296.8272424242017,289.68583118714287,NOR
11,174.6294152588297,156.39831288578335,NOR
12,94.19385986891909,93.74143031640712,NOR
13,113.74860598104249,117.65123115268311,PIA
14,219.49370758023755,222.9895014447802,PIA
15,187.55972817299443,193.25244175283268,PIA
16,216.14825559706287,223.90865729513825,PIA
17,177.1368171376837,182.35493983288887,PIA
18,241.12307072593526,241.43647824874677,PIA
19,279.12743056911296,279.6944912366578,PIA
20,240.69177118423744,257.6939330408081,PIA
21,147.56759118032193,144.66543646195876,NOR
22,96.67633837765844,96.92622155625946,PIA
23,124.56959279406766,123.93836229938967,NOR
24,233.48297097396065,228.4445801760584,NOR
