Minisector,HAM,PER,Fastest
0,261.7063930095161,257.43447970088187,HAM
1,216.35432116989247,223.03592912696973,PER
2,141.0577426816193,141.54317311082505,PER
3,230.10735023893002,237.55043451169894,PER
4,269.33421733052717,267.0708331093333,HAM
5,179.4951715273049,171.26624343893118,HAM
6,99.80420220969494,99.0424882621806,HAM
7,136.12415267396324,137.99364209628993,PER
8,248.21667628464013,249.81333794318198,PER
9,163.54508503826548,167.54627362879947,PER
10,183.91286087406635,182.69208901661008,HAM
11,253.99272339004102,257.8520740466781,PER
12,234.16182269162562,243.5372599784142,PER
13,251.30990791991533,260.19877831296776,PER
14,279.12323336811596,283.58835026756816,PER
15,264.7504620355624,272.70326205451744,PER
16,141.32097813173547,136.02322260004576,HAM
17,232.0618028586884,230.82984205999566,HAM
18,278.93904751701865,277.976449715942,HAM
19,290.7713767884058,288.963586968116,HAM
20,295.06159411014494,291.69813314632034,HAM
21,300.83829363809525,296.54438409275366,HAM
22,148.51642731731155,141.23106721382618,HAM
23,84.79528129856695,80.56143746330567,HAM
24,168.27287129174152,155.16632168284204,HAM
25,241.88333226666666,236.60416533333333,HAM
