Minisector,RIC,VER,Fastest
0,261.3164120054422,264.9448860888769,VER
1,134.02802911913852,151.09722924008892,VER
2,194.0853781879604,175.80674542400715,RIC
3,242.61696396190476,241.05754975398557,RIC
4,254.19356485612244,261.17819833316713,VER
5,170.7736026767033,194.98540954846004,VER
6,143.24121535239988,154.4146739478261,VER
7,184.94261758899006,170.41789348556543,RIC
8,101.6213110836332,117.35210796634186,VER
9,77.40151233630291,82.38095987093966,VER
10,97.61694411182772,96.26199325842413,RIC
11,180.87424048039966,148.67422015193165,RIC
12,241.78093097384647,236.76956253095125,RIC
13,265.33571405714287,264.2076923076923,RIC
14,276.31039059231216,280.5080128,VER
15,123.45754444937809,170.06562354913305,VER
16,136.19045034392076,109.029062697447,RIC
17,188.82459208822056,204.13197662104676,VER
18,195.63822846730417,186.72500000000002,RIC
19,215.04879122170126,228.26098218397695,VER
20,136.21991470579263,141.99651904249998,VER
21,121.20984361151805,152.60880091532968,VER
22,92.87273681813069,82.8346775667095,RIC
23,190.37708432592592,171.59023144459368,RIC
24,244.14918304676894,241.37824249569476,RIC
25,259.38,,RIC
