Minisector,RUS,BOT,Fastest
0,295.11083703161904,291.9668135193074,RUS
1,311.3297949103399,307.99184997399414,RUS
2,320.7392387370308,315.7797181124183,RUS
3,316.6348874856079,305.8855074116402,RUS
4,145.131477793167,158.7099092050373,BOT
5,205.018384451046,196.65783638934775,RUS
6,230.79356526222224,221.00897482418338,RUS
7,261.902409587134,259.8398261090909,RUS
8,235.12980182177517,233.23529009168524,RUS
9,158.00816452407474,148.92379087199998,RUS
10,215.27150331455525,212.8320199137136,RUS
11,127.3544479260937,126.61576355593395,RUS
12,226.64937859635313,221.3854150448485,RUS
13,172.37901603374627,169.52162771761,RUS
14,213.95977506170274,203.42065265896102,RUS
15,223.55215767785725,213.94176966172017,RUS
16,256.13579879575303,247.6182845939394,RUS
17,273.5182543714927,276.6929669149912,BOT
18,146.47321393471165,150.18947140113065,BOT
19,168.25805895294263,156.81484067095238,RUS
20,140.64697536174148,132.51002941297517,RUS
21,150.91923913189734,149.85395948405966,RUS
22,106.66004126350431,105.99489188312096,RUS
23,216.2973295533041,206.05556442802754,RUS
24,263.5794406685041,259.46779970446283,RUS
25,,272.9937488,BOT
