Minisector,VET,BOT,Fastest
0,275.1530145527869,272.86299576023475,VET
1,293.12090204105556,292.6205607451326,VET
2,301.05315035967084,295.6421740734695,VET
3,134.95808639117212,131.22927347511344,VET
4,199.45684570583168,203.25536244390813,BOT
5,263.3167495444524,258.68912100740744,VET
6,140.3650821326258,142.61000246853553,BOT
7,210.79891108123613,212.1354506097441,BOT
8,265.02055320820705,264.5692753464141,VET
9,286.9517879408678,285.2491911410425,VET
10,249.10340754861824,241.18523039301226,VET
11,183.77923701066362,184.30794977807838,BOT
12,194.03290036946822,200.41924916429517,BOT
13,146.7778198904444,140.97862639125887,VET
14,175.16377011404708,179.27196934643547,BOT
15,164.36238193228792,167.70003678458028,BOT
16,218.89964019820982,223.41179975223253,BOT
17,237.97149450450289,241.35315959368685,BOT
18,242.16769643510318,247.45422168895897,BOT
19,251.52994562238297,228.18231064439345,VET
20,145.27391203439547,154.24334786892047,BOT
21,137.9783427604512,129.62183651822212,VET
22,170.95686900045732,174.42768947175637,BOT
23,151.99707970161126,158.87778327745357,BOT
24,235.5700788462725,238.95068341884394,BOT
