Minisector,GAS,RAI,Fastest
0,269.77554606065047,269.897566555486,RAI
1,287.4726323610251,287.7925158229114,RAI
2,293.8637782200206,295.84394463433813,RAI
3,128.53813146734652,130.6725740702939,RAI
4,198.47675390210637,190.77792886949612,GAS
5,259.44047269423663,257.27513911300633,GAS
6,142.51607138458715,138.77739764306727,GAS
7,208.07780132378474,206.0649700937349,GAS
8,260.0709896128302,259.26650961216956,GAS
9,282.12226880000003,280.6376905715808,GAS
10,229.38778881337572,241.92336897421214,RAI
11,172.07125421245598,186.91904694304523,RAI
12,191.6085061824457,185.84942148224604,GAS
13,145.00483448270668,149.47047784492747,RAI
14,175.4812642489913,172.02791062179276,GAS
15,159.33094608974713,159.7919146803048,RAI
16,216.90864845670205,209.63345441417428,GAS
17,229.3063367585173,238.46717235888573,RAI
18,234.1765400484992,233.11223134210513,GAS
19,236.55137474281597,255.18872155310467,RAI
20,146.43772812999381,141.9889845375898,GAS
21,136.52113834981606,140.22103477627925,RAI
22,169.41939202743364,161.81292131926907,GAS
23,150.00423474659297,150.95234954482913,RAI
24,229.04401824,224.4698778799433,GAS
25,257.65271949048514,254.7916672,GAS
