Minisector,OCO,ALB,Fastest
0,279.86370044725874,284.6619971047619,ALB
1,297.9464976854391,303.1748266222222,ALB
2,295.58869395142494,297.92567135710294,ALB
3,180.57524498512896,168.35976885005746,OCO
4,125.18968731768584,129.3668791696339,ALB
5,239.70779059450837,244.5395462599863,ALB
6,281.04088650957436,283.3052033012194,ALB
7,286.9229962153846,287.94228517790475,ALB
8,184.18392407013394,186.4296779771359,ALB
9,150.53522588240187,152.141792540417,ALB
10,255.618535245977,261.3014946742837,ALB
11,290.81256199905766,295.1100943553574,ALB
12,298.88100154920636,306.0221917118671,ALB
13,277.2278661135802,289.2037110211347,ALB
14,295.53595015873015,300.14517726246703,ALB
15,295.08237027962724,297.90216675298797,ALB
16,256.7184084595168,257.7304278368312,ALB
17,227.57500317138962,236.4315011840637,ALB
18,276.0802495584775,281.6653168221464,ALB
19,296.6886294685896,298.8043667986698,ALB
20,293.55456809565237,294.1477431111111,ALB
21,236.65099652746753,237.54259918401263,ALB
22,259.6275276736556,262.43332861202464,ALB
23,144.25616557687118,137.24608210785695,OCO
24,223.64078442444256,228.2166292021463,ALB
