Minisector,NOR,OCO,Fastest
0,293.7219849658483,289.71918861754386,NOR
1,297.61201383269844,297.0332808257143,NOR
2,158.30731140691864,160.54552196185148,OCO
3,223.7675557584314,220.70227197071895,NOR
4,273.00879491947956,273.59781301541386,OCO
5,294.0117904175824,291.38752096806724,NOR
6,304.9210671902041,297.85794637714287,NOR
7,170.32775946615928,167.53477259952382,NOR
8,136.24132270727208,128.694796758169,NOR
9,250.5347003071522,248.2348929371429,NOR
10,285.7466986773333,284.39776266717195,NOR
11,296.6103913677675,294.7731479703704,NOR
12,144.39063216414166,136.87409568853525,NOR
13,193.07327813175343,189.15912583233174,NOR
14,259.0652911117576,257.3577154707996,NOR
15,200.54196536507936,196.9797878726089,NOR
16,219.91191826123324,209.80289285714284,NOR
17,215.16390340102564,203.2434990947034,NOR
18,249.5850516754838,239.78661055733548,NOR
19,279.99807043160496,275.392585720979,NOR
20,296.62709414603177,291.2528324525461,NOR
21,269.48193639619046,248.64581439888033,NOR
22,220.7569754593524,218.45643571157873,NOR
23,200.16495824,189.80215902367135,NOR
24,264.7546632228572,261.7001484794581,NOR
25,,281.0625002666667,OCO
