Minisector,LEC,VET,Fastest
0,244.58050756079123,237.36518489244176,LEC
1,274.3050996065095,269.5606320022586,LEC
2,177.31570608395793,169.8812591192619,LEC
3,163.08553536217426,151.1508604199885,LEC
4,256.4112827265651,256.8154580843867,VET
5,265.9903984995904,259.8366291166532,LEC
6,222.95360910197303,212.5772856879746,LEC
7,205.3058414180405,191.56380618856056,LEC
8,158.34023582361914,151.54458625413307,LEC
9,214.17597473947612,206.59775088113847,LEC
10,270.1240573526837,269.70650298110263,LEC
11,117.70456601837603,125.63373505907005,VET
12,206.39747350831752,207.608768225926,VET
13,268.7803976748052,266.538121216261,LEC
14,289.8003620001606,286.0586765867113,LEC
15,298.0681156030075,295.86497493734333,LEC
16,238.71728006912215,244.04122967335283,VET
17,134.44313439345186,132.3845387961784,LEC
18,133.96525474855176,130.36933784140967,LEC
19,125.96158991075285,121.15715572652164,LEC
20,219.7570021936762,221.93468819766898,VET
21,252.0471511185185,253.42387304198,VET
22,228.34791683583998,230.88439959466666,VET
23,208.336041874251,209.33900123890984,VET
24,136.17571481055944,129.46571069427384,LEC
25,,210.89861404444446,VET
