Minisector,STR,GAS,Fastest
0,266.8559150733933,268.42409205813465,GAS
1,272.019241131815,249.1041565732531,STR
2,120.28488105321112,108.59874045616219,STR
3,156.61826797332458,176.4131361035211,GAS
4,184.02030899112268,164.0269176096889,STR
5,195.30095716443273,209.94167421959182,GAS
6,265.8375747777602,265.5573084886128,STR
7,285.21492610331893,285.21,STR
8,182.32439053496597,171.7596575560996,STR
9,127.96322097005559,124.35119420191228,STR
10,120.29363177008678,132.84276150861882,GAS
11,176.27327106573543,186.3588888116475,GAS
12,218.35895092708995,212.4970063897054,STR
13,127.08748680301032,127.16429520050818,GAS
14,150.57396486341125,144.3447104390244,STR
15,113.81823731838385,110.5462026098098,STR
16,245.04139294217606,250.04671619004657,GAS
17,153.09933933571762,140.9342798169199,STR
18,183.35999274561578,194.57409307945224,GAS
19,127.98710985647703,120.7831687883357,STR
20,127.58969189990934,125.25970727949976,STR
21,116.77419586777839,118.05573019024172,GAS
22,131.3907031528713,137.4460899510257,GAS
23,212.31033883619048,209.99220383877775,STR
24,220.1286063760452,228.3933800543316,GAS
