Minisector,ALB,STR,Fastest
0,307.81669226832895,308.9109821259761,STR
1,228.61515390327057,204.1892292515679,ALB
2,138.85782641503107,135.21665878567177,ALB
3,223.88308573930456,221.35699445575827,ALB
4,164.21981303285813,160.40917217449118,ALB
5,178.5194071274972,178.95554092797295,STR
6,255.531044287121,256.376457788606,STR
7,282.71114074016987,281.9257776924444,ALB
8,289.4573936690196,289.98826123051464,STR
9,261.23836314939683,267.6821472405512,STR
10,246.5680699665797,251.70929077702743,STR
11,243.19041083597884,243.4360131371469,STR
12,204.64030765286006,220.23866405763977,STR
13,125.80895202598678,135.8806484566082,STR
14,138.74783485704782,149.52701594025518,STR
15,170.34091728929673,161.60119722093188,ALB
16,254.63527515511996,252.47227590812327,ALB
17,251.7415125602241,254.37251735545573,STR
18,112.25112617244247,111.52024918277974,ALB
19,198.38862836016997,184.10861923428766,ALB
20,196.20839927990556,203.57933652295233,STR
21,239.3160200376099,232.1623882309624,ALB
22,276.71259473550464,274.55928250469134,ALB
23,298.4691144,301.12421008,STR
24,315.2038459569231,319.75650668437044,STR
25,321.1458325333333,326.1147720727273,STR
