Minisector,RIC,HUL,Fastest
0,280.20362291937414,267.629513591805,RIC
1,305.6278136843908,287.1426885826241,RIC
2,291.2663535256827,285.5124792986921,RIC
3,174.2699952492998,172.87003645231292,RIC
4,117.84723341620666,116.99363004121366,RIC
5,235.03291968426322,231.1693080320456,RIC
6,287.9244804132433,275.15761589530814,RIC
7,298.14020876405897,287.63441125408326,RIC
8,161.893422039981,169.92865044067833,HUL
9,137.78478151027696,135.31599723328492,RIC
10,251.79387984974798,244.22093335423628,RIC
11,294.28878448197526,278.2261776926882,RIC
12,299.63500746122844,290.9632454318366,RIC
13,271.96941751558245,271.4746921653357,RIC
14,299.616625054368,291.3184763647297,RIC
15,302.62381246897684,297.2185406114214,RIC
16,238.76170421001126,242.37849665154351,HUL
17,214.79072338199148,210.28179520796667,RIC
18,282.6037576027546,268.3798382014019,RIC
19,315.9147304878081,293.8849507688987,RIC
20,324.95535535031837,300.68286271993173,RIC
21,217.01832023479838,221.9862573574167,HUL
22,251.83013744127908,248.37028070611697,RIC
23,134.93237863754675,140.83403353194117,HUL
24,213.31422362558567,198.823434459383,RIC
25,255.70833066666665,248.45138844444443,RIC
