Minisector,RIC,PER,Fastest
0,276.6589381608533,277.747979064818,PER
1,290.4575120954114,294.9622950384486,PER
2,228.24690268441404,223.03268817737612,RIC
3,114.86177465198404,111.39693345551258,RIC
4,140.82828379322356,136.8574926988675,RIC
5,248.9738320537093,250.67506280684046,PER
6,248.15834202299334,242.7154033005714,RIC
7,125.69202139370155,124.45893317156569,RIC
8,243.55618587117428,248.5514486296743,PER
9,244.57684077681353,254.48611181202742,PER
10,204.61732242206625,202.13193132051944,RIC
11,140.23224626769536,140.2630955637442,PER
12,206.9124919815068,209.59524478328856,PER
13,255.67251454409939,251.66997827449853,RIC
14,115.2375757742049,111.20181528598195,RIC
15,188.1039105614049,190.67099179406665,PER
16,254.0328347434676,257.06356800003846,PER
17,284.15461877976924,286.54112503274325,PER
18,294.5944403290761,300.5938901897342,PER
19,297.4196326457442,306.4958333866667,PER
20,297.0866227087719,308.7296443590848,PER
21,152.37497499944578,140.00159653701297,RIC
22,153.062882489913,166.89677105173482,PER
23,193.5994520922736,188.1850410227584,RIC
24,232.82625909911022,238.63333462769413,PER
25,263.0166656,,RIC
