Minisector,ANT,LIN,Fastest
0,120.36998406965988,164.2227159724138,LIN
1,169.21698522412697,127.33366673066666,ANT
2,195.07535707428573,141.42754846840498,ANT
3,164.7021280587281,182.17904719238095,LIN
4,158.0174996254945,211.83238095238093,LIN
5,140.8012720551724,212.69585725415115,LIN
6,161.01608967416237,132.80437376363525,ANT
7,202.74583950589246,108.49276009411766,ANT
8,235.9824819681203,154.7076154548148,ANT
9,247.1744218074074,168.6705719344762,ANT
10,238.66666666666666,146.9187328314593,ANT
11,203.32703175141896,147.06379451428572,ANT
12,211.11545437090908,136.23665725714287,ANT
13,231.18300547724868,150.47095409648486,ANT
14,260.2614681695296,188.27979797979796,ANT
15,270.916513942071,225.58319333109245,ANT
16,252.4088200605042,244.42402546742147,ANT
17,134.6658169227031,247.86458355555553,LIN
18,118.62656912653061,195.30779761691957,LIN
19,178.9203810242981,196.10518481947088,LIN
20,191.40090020444447,220.63053547428572,LIN
21,129.65368923428574,247.92666666666668,LIN
22,97.34251998355731,266.86379038117644,LIN
23,150.95742181942504,261.17352182857144,LIN
24,187.1968531809524,196.0324672831169,LIN
25,178.0,130.0534382,ANT
26,,98.0,LIN
