Minisector,LEC,OCO,Fastest
0,117.09436384594466,112.04726552593866,LEC
1,146.60018370460494,137.15066666666667,LEC
2,166.17480401269842,145.63307118067877,LEC
3,106.0529579,160.86400709015737,OCO
4,144.34096543914265,131.52962229949316,LEC
5,195.3457164393851,147.95673611912648,LEC
6,153.95975569909567,173.9421052631579,OCO
7,140.83906153333334,171.71233894540094,OCO
8,143.8127265485781,143.86934018363715,OCO
9,144.18509663218737,153.25154945704574,OCO
10,182.5625706015319,139.39242437417298,LEC
11,152.4552532306218,135.36852589480563,LEC
12,148.3749981217391,167.54821465396824,OCO
13,184.42648965498842,126.52432272633123,LEC
14,201.70889700947086,176.6770359102836,LEC
15,155.6184806995671,161.64614595192745,OCO
16,118.64945369011305,160.7464011151515,OCO
17,94.4375598737661,124.02838072592931,OCO
18,112.47154094812304,76.05909045971816,LEC
19,121.63846462528736,161.5565169777778,OCO
20,141.21260877523284,135.5531412009399,LEC
21,197.59208488515404,139.71614069028573,LEC
22,153.81595135934433,200.3179592343527,OCO
23,172.73148311289793,129.0043123024328,LEC
24,220.271092,140.4051273025641,LEC
