Minisector,PIA,RUS,Fastest
0,275.3691249689297,275.80130517238564,RUS
1,298.68489599343036,299.7228269073302,RUS
2,294.6264698150437,298.02484026177444,RUS
3,169.32393093007016,176.13002150284703,RUS
4,117.97110393509645,117.11835793832024,PIA
5,232.59246092326663,232.862470593204,RUS
6,291.37575154349224,291.3266953875441,PIA
7,310.10615833162655,310.4321728200867,RUS
8,180.82211738769197,173.06411174276968,PIA
9,135.40103898359007,136.12902455238952,RUS
10,247.34881148354916,247.71966454970018,RUS
11,288.11094323620085,289.5451546331653,RUS
12,301.9477090875392,303.50462308622224,RUS
13,282.9140268071222,281.7539099540072,PIA
14,296.53151660773455,298.4671053152882,RUS
15,299.68818541945166,299.00580799353537,PIA
16,255.29022487487813,251.44594942331065,PIA
17,228.68463963978834,225.45457012037494,PIA
18,276.24069607120174,281.70112498649934,RUS
19,300.99782450701116,312.90769897672726,RUS
20,306.01578815317316,320.90272826585453,RUS
21,224.67735526128212,219.87554080734694,PIA
22,257.42945472361714,251.8491449363302,PIA
23,128.34379049728537,130.50756917494934,RUS
24,212.1528738388758,202.89587685398268,PIA
25,256.22500160000004,256.48125120000003,RUS
