Minisector,RIC,HUL,Fastest
0,283.5507011226891,276.95138717680265,RIC
1,124.79870251004914,119.85767289015276,RIC
2,154.60491111632217,154.0312369454865,RIC
3,211.26539826086955,206.78054970243696,RIC
4,165.65205815870536,160.07808659753087,RIC
5,245.2201393185185,243.95810490049777,RIC
6,218.91497187138017,234.24623362040523,HUL
7,132.98210595775964,132.41805974639456,RIC
8,226.73770821333332,225.86319306666667,RIC
9,274.5620043174603,281.5038229325001,HUL
10,278.87270643790987,290.7774880806723,HUL
11,148.28957351029186,145.07131467449778,RIC
12,217.33159202016412,213.3867398787879,RIC
13,271.4972907381294,270.126202437852,RIC
14,261.41001857354496,273.0754933960784,HUL
15,97.0414655512244,102.21725176255559,HUL
16,213.33901078257023,212.958575591342,RIC
17,266.90648183703706,266.4732603103427,RIC
18,293.17284243809524,299.0377596095238,HUL
19,303.38603868866045,315.7555551288889,HUL
20,308.5824224780682,324.82738072380954,HUL
21,283.6148424,292.2376538666667,HUL
22,153.4287478995078,149.31354970597266,RIC
23,234.19210560000002,232.33715436780676,RIC
24,275.71185099771367,283.17936400253967,HUL
25,287.20416746666666,293.4958336,HUL
