Minisector,VAN,HAR,Fastest
0,294.1003607652174,281.9559041333333,VAN
1,155.1585739531888,155.86683769076245,HAR
2,152.382298332693,154.91366917223166,HAR
3,219.23029727422002,219.44726786206897,HAR
4,282.0891835221519,281.2111382392725,VAN
5,285.49848365714286,291.7507579636363,HAR
6,144.55192298007412,147.5938022278944,HAR
7,138.43469790751314,134.66567355555884,VAN
8,151.0550436503411,144.63446562397706,VAN
9,172.2932930522774,173.15706040825492,HAR
10,130.51831468698236,131.14870796489865,HAR
11,125.67263773763716,121.90562815422652,VAN
12,158.0775140394646,160.11694542517344,HAR
13,262.42954181681233,260.6217137127619,VAN
14,279.1323499991718,283.33220917073044,HAR
15,148.45034005144407,147.9741699690626,VAN
16,210.3038043957889,203.44294448172045,VAN
17,157.20572737034527,158.4584278350219,HAR
18,264.2875436303378,263.50308923607804,VAN
19,286.9675210222424,285.9242423272727,VAN
20,297.7943179151515,297.5538763803348,VAN
21,306.1462080613129,303.663123446712,VAN
22,311.82416656,308.10204080181404,VAN
23,314.5788094628571,311.9900703412054,VAN
24,312.50795466666665,308.6255681939394,VAN
