Minisector,PER,SAR,Fastest
0,244.31323568953712,252.0341677724757,SAR
1,277.366944167718,292.40015457414387,SAR
2,180.2238389281439,160.99831226392985,PER
3,148.79709163705834,155.86572096873684,SAR
4,254.62159997384754,252.07306422867026,PER
5,265.7395781735727,239.64501181252527,PER
6,225.6239092530939,204.6584034182629,PER
7,204.54279634708416,189.84208689772467,PER
8,154.5577589297571,148.77290608379138,PER
9,209.43537463077317,215.09393524975536,SAR
10,268.5023348738949,276.1304205929004,SAR
11,123.0432868482469,116.16580177576516,PER
12,204.70179534365812,212.52059422419754,SAR
13,268.4458598484849,276.11124225975533,SAR
14,290.1931450721084,305.99693802357,SAR
15,298.59014223871367,317.0808719130607,SAR
16,245.03634998881844,229.3340451192647,PER
17,134.20245128786527,131.76695770610868,PER
18,133.10281354054067,129.19121196743302,PER
19,119.25538929349055,121.11828200819042,SAR
20,221.3229202835055,217.79047676724684,PER
21,253.68984444444447,247.40100620759168,PER
22,240.94865495234174,221.2642745045782,PER
23,214.61171319102354,200.2113704774603,PER
24,140.22533566400244,138.12914569532032,PER
