Minisector,SAI,GRO,Fastest
0,267.2402326192431,268.888571925677,GRO
1,286.7000032644184,287.5917599551348,GRO
2,292.18786991531834,295.7709280886026,GRO
3,125.75517200592446,132.30248493316194,GRO
4,196.77855987119221,190.18136676636152,SAI
5,254.53487149134045,256.08018347667326,GRO
6,137.0729362554697,143.8267539431825,GRO
7,200.0495929866322,195.4329510068529,SAI
8,257.3190844675078,256.75372076422053,SAI
9,280.1079824055884,280.25969265905394,GRO
10,230.70342541328915,228.84420253267325,SAI
11,171.4649236059424,180.60428742778203,GRO
12,187.4974803280432,179.4133403632885,SAI
13,139.39445037879875,145.54080101558648,GRO
14,170.6464457580247,168.98276131234942,SAI
15,152.2310124057194,153.89865141899807,GRO
16,211.46413096939224,205.01225224876197,SAI
17,229.05690878573145,231.54733249556904,GRO
18,228.2148929018474,224.72534126081797,SAI
19,241.29436191162017,252.41902653400558,GRO
20,140.1756292879685,138.4863327487501,SAI
21,133.7272372542933,140.65536332921613,GRO
22,161.9281388821005,156.92009819465582,SAI
23,142.4213768422553,144.66996358581287,GRO
24,222.8825669828698,219.93129212714032,SAI
25,253.6374976,254.67708266666668,GRO
