Minisector,BEA,HAM,Fastest
0,273.5196300026029,276.66711244865496,HAM
1,300.60378213046386,309.8251037933333,HAM
2,312.46034258924624,331.3319752,HAM
3,318.66212133384613,342.20424134564104,HAM
4,320.10336739434445,344.9798610666667,HAM
5,322.1386458266667,342.9752383085714,HAM
6,205.36284734529497,214.99552427189025,HAM
7,106.68165921309928,106.9852724141394,HAM
8,193.55593358810208,193.51578229769697,BEA
9,262.670774064598,267.65871776374246,HAM
10,287.4838712711111,296.38563117475917,HAM
11,168.0945621589189,162.45006444421358,BEA
12,98.07523228437019,95.21401054297311,BEA
13,116.37029951181958,121.21367615601942,HAM
14,222.19844767954427,216.87539193970676,BEA
15,190.28690071762088,184.38240064427802,BEA
16,225.56445297406128,220.49933955355056,BEA
17,183.17365103486296,181.06750346231294,BEA
18,234.65746453333335,229.80723551782316,BEA
19,276.6358528143915,274.11415301746507,BEA
20,248.56985757458838,236.1065310256085,BEA
21,148.3492762929138,143.93191470526156,BEA
22,98.18728651128947,96.40422618931807,BEA
23,127.02384759088949,126.7683639995325,BEA
24,225.56378484342858,226.28366578544365,HAM
25,,258.39749952,HAM
