Minisector,HAM,STR,Fastest
0,291.2101730978355,307.3824065777778,STR
1,300.208458562406,325.176077934156,STR
2,305.10952379348373,336.87303915742297,STR
3,303.0184210526316,315.4351880888889,STR
4,179.66512336500148,165.15354189922678,HAM
5,221.09095238095236,206.17316914003527,HAM
6,242.78040338778735,235.5320483110707,HAM
7,270.6031178376417,267.1994041904762,HAM
8,263.0627696197012,251.97490318975804,HAM
9,170.76811290746957,163.12628614260706,HAM
10,233.86900036266667,226.0463740577211,HAM
11,140.1856248407939,129.10901987035066,HAM
12,229.76170187408596,232.1033369451578,STR
13,196.1084868374808,184.56224056666667,HAM
14,226.41376478905514,226.88134958481766,STR
15,249.374689510559,241.38959661449277,HAM
16,265.8681818181818,261.01341736744405,HAM
17,285.9200548689439,283.3776934965986,HAM
18,130.18840572753624,116.47292044732954,HAM
19,168.84672146190002,160.2399597851852,HAM
20,151.98732308352487,150.6995604702224,HAM
21,165.78506802721088,152.33067962259423,HAM
22,120.78711691287646,121.81941642285715,STR
23,230.86810083453693,234.14907062247622,STR
24,271.11071418049886,272.6956243733333,STR
25,283.13749973333336,,HAM
