Minisector,RIC,SAI,Fastest
0,295.20354176,292.73364991643257,RIC
1,293.9333528819411,297.7955676444444,SAI
2,158.76558393940746,171.94536959898744,SAI
3,230.38242828985506,234.58652511081192,SAI
4,283.83734335839597,276.43605044641197,RIC
5,309.3495798588235,292.54495629473683,RIC
6,315.4269956929972,298.4346509851588,RIC
7,163.22990476190478,167.33817376209032,SAI
8,137.63122639926172,150.3916486739952,SAI
9,249.80674603174603,253.96446766413666,SAI
10,281.68327099348375,281.6648504194737,RIC
11,285.60087719298247,293.3671297777778,SAI
12,148.13553257777778,157.176189566287,SAI
13,203.73880025747738,213.65116834133332,SAI
14,257.8727890140589,265.22741162724833,SAI
15,203.6330471552402,217.4804624303809,SAI
16,227.84420289855075,239.6693732040936,SAI
17,219.67466641066665,234.75146895342525,SAI
18,249.51732639940317,255.2646548897959,SAI
19,276.1486844070176,278.14258614915246,SAI
20,287.7829454780645,292.1365672827963,SAI
21,256.3310719189957,274.3416654596491,SAI
22,224.4276036,237.98651403948526,SAI
23,211.21986068383526,224.16595629856945,SAI
24,265.2427085333333,271.7151524363636,SAI
25,283.4500010666667,,RIC
