Minisector,HAM,MAG,Fastest
0,234.48746153700435,233.2628568333287,HAM
1,285.52931228782717,282.03905366353723,HAM
2,302.1200757818182,295.61452559330615,HAM
3,308.60479168,299.98874455411254,HAM
4,278.48987092537817,271.57600875428585,HAM
5,174.61218292311963,170.96770004540244,HAM
6,265.12707568451935,261.0806544571429,HAM
7,282.5625541610389,276.94280299220776,HAM
8,218.1357975793257,217.12250832792077,HAM
9,221.18461972016462,217.8140135550739,HAM
10,195.16181386897546,183.08631023865544,HAM
11,223.43350762405677,222.48730860006208,HAM
12,204.5122112639017,205.30127586959057,MAG
13,221.85630028584887,210.5519447720635,HAM
14,222.76307498456487,220.64298245125502,HAM
15,181.43834369808008,181.28864563303395,HAM
16,251.11112018451774,245.8008283265228,HAM
17,293.64594551458777,290.0714281142857,HAM
18,312.3208333333333,305.01979152,HAM
19,302.2813490285714,299.2687240311688,HAM
20,132.54875661663547,128.76514393250994,HAM
21,167.6399010813977,166.43319016839627,HAM
22,155.27273594554345,148.50664599727892,HAM
23,204.4242126311172,204.8400238169516,MAG
24,147.80884063749966,143.69093686441988,HAM
25,187.33333333333331,181.46666560000003,HAM
