Minisector,ANT,HUL,Fastest
0,120.36998406965988,133.81340089750842,HUL
1,169.21698522412697,171.17890690000002,HUL
2,195.07535707428573,214.6377495285041,HUL
3,164.7021280587281,246.80173657777777,HUL
4,158.0174996254945,274.1735299764706,HUL
5,140.8012720551724,290.2833335111111,HUL
6,161.01608967416237,306.13142893714286,HUL
7,202.74583950589246,313.973913105314,HUL
8,235.9824819681203,318.2961540923077,HUL
9,247.1744218074074,325.8362500266667,HUL
10,238.66666666666666,329.3068184242424,HUL
11,203.32703175141896,330.39843633333334,HUL
12,211.11545437090908,234.8978828631579,HUL
13,231.18300547724868,132.4826665994398,ANT
14,260.2614681695296,91.36709602968459,ANT
15,270.916513942071,144.76218435714287,ANT
16,252.4088200605042,204.039814256,ANT
17,134.6658169227031,246.81144215026455,HUL
18,118.62656912653061,261.3572227149206,HUL
19,178.9203810242981,249.86985204705883,HUL
20,191.40090020444447,177.13456614320987,ANT
21,129.65368923428574,120.6729646980575,ANT
22,97.34251998355731,127.54115587296045,HUL
23,150.95742181942504,165.0342864457143,HUL
24,187.1968531809524,205.56142957714286,HUL
25,178.0,240.08525059200002,HUL
26,,265.5270757476253,HUL
27,,281.29411764705884,HUL
28,,292.0864293485714,HUL
29,,303.1705555911111,HUL
30,,299.771602962963,HUL
