Minisector,LEC,HAM,Fastest
0,276.99634252506513,288.71410527556327,HAM
1,285.08151501284846,306.72585375682087,HAM
2,269.7971676823147,280.64413037905734,HAM
3,177.35005489768838,176.68641736375005,LEC
4,115.82489398728136,116.53271243720155,HAM
5,245.72470520353247,236.4076619861336,LEC
6,298.22889610419196,297.7862333899473,LEC
7,309.6603219690816,309.2454801195959,LEC
8,171.71236276437773,166.14552002301684,LEC
9,136.77714896427383,137.32006460906086,HAM
10,248.93455670457394,251.62079445056312,HAM
11,283.83058954118746,290.12497498169466,HAM
12,288.85932533038743,294.7670213458643,HAM
13,275.4594550739927,271.65309410890046,LEC
14,287.86121281626913,286.23803031757575,LEC
15,279.6569723926833,278.2456551420583,LEC
16,243.69662638134383,239.56894006440797,LEC
17,219.00511668215182,221.90941196048547,HAM
18,285.00882364275134,274.3643791258321,LEC
19,309.4372223573333,299.33437541149635,LEC
20,306.0085381721553,307.00231670022674,HAM
21,225.89277037641725,219.4931019683975,LEC
22,235.07223021824822,243.03984935114408,HAM
23,134.76579288699762,134.45429806322977,LEC
24,206.93835505913123,205.616651283791,LEC
