Minisector,LEC,LAW,Fastest
0,250.52169986888887,251.77510245260385,LAW
1,286.2675604076872,285.6789547857875,LEC
2,182.7975978692789,169.416674205059,LEC
3,162.28640765928608,142.17929653946362,LEC
4,257.4765884639318,257.48038379282053,LAW
5,272.44682827580954,272.0615505030491,LEC
6,234.1672028383067,236.17754031989418,LAW
7,217.59335405714288,212.24727332703242,LEC
8,162.3837270749655,163.7557172895253,LAW
9,217.24061318179895,216.93346215455682,LEC
10,273.93532564343593,269.6784224,LEC
11,125.26487178738941,128.49861146465395,LAW
12,207.91877574357963,207.46367536965082,LEC
13,273.90224910506663,274.1009202993344,LAW
14,299.1780549688889,296.78834045567254,LEC
15,310.06020474828284,307.53575576419047,LEC
16,256.90894552673967,241.41274526120662,LEC
17,130.67663945459765,127.75635842493082,LEC
18,132.50290015740782,132.78031558960825,LAW
19,124.79085068484869,117.58056006417775,LEC
20,220.0177989272193,227.37644947565713,LAW
21,253.4903732104258,260.79608427343913,LAW
22,243.83448660483515,237.16364343588572,LEC
23,217.03220010111923,214.09788384519555,LEC
24,138.74016603177228,141.12178947156082,LAW
