Minisector,RUS,ALO,Fastest
0,277.6647278830702,279.6309051410728,ALO
1,146.70535383519282,138.98831583378512,RUS
2,215.4423777685108,204.4505305412782,RUS
3,282.9219366483522,268.14877304829304,RUS
4,311.4148555766676,318.6248793045736,ALO
5,293.5574161924633,284.44012836138,RUS
6,149.70852861740417,144.0584992599484,RUS
7,248.75477257817775,246.7816934092763,RUS
8,113.77308029761144,108.54434611060411,RUS
9,156.14311375304294,163.04642527461945,ALO
10,273.9667375051703,275.1627231827185,ALO
11,295.8138609565453,297.90657438809234,ALO
12,216.88538221644114,231.93058340634076,ALO
13,159.95433357106836,168.98397067151376,ALO
14,269.47286430676957,268.54482189333334,RUS
15,312.2699773092314,309.3010006348511,RUS
16,323.708375104,321.42148450009813,RUS
17,333.82666385429934,331.47972059139784,RUS
18,332.2743339882086,340.476297096211,ALO
19,327.8023810031746,345.4101002738847,ALO
20,199.03219106311698,173.78489333794852,RUS
21,162.17870515414174,174.825217329261,ALO
22,278.4928637403347,280.38794408683646,ALO
23,314.444817262504,310.9045725030872,RUS
24,322.91107243660895,323.4696413969886,ALO
25,319.0708330666667,,RUS
