Minisector,HAD,OCO,Fastest
0,303.2036691014346,320.6057869748148,OCO
1,198.70778515216966,199.52158306986664,OCO
2,147.19650839313366,145.11565801740164,HAD
3,220.83779251313712,215.0227404335601,HAD
4,168.65743184003543,159.67936819566228,HAD
5,177.49527648877515,184.34125750490804,OCO
6,257.62146294528253,255.18247536187175,HAD
7,281.4229391845926,279.8146822506205,HAD
8,289.5377342374695,286.3098829,HAD
9,263.31567091450984,266.5948331140741,OCO
10,244.12427122238773,250.16228279111112,OCO
11,246.86866480772915,233.04480463639098,HAD
12,208.9165708984212,196.62798875384257,HAD
13,133.22716276631928,124.31473117188136,HAD
14,138.9099973297044,135.05191799068783,HAD
15,181.85727857820106,183.35183608106752,OCO
16,249.94386547032195,258.35400716072536,OCO
17,234.91602069892065,242.7075435587417,OCO
18,114.69871238414156,109.32742873960174,HAD
19,196.77134170817243,196.68050028487525,HAD
20,202.56332859066345,196.06519113333331,HAD
21,237.76227376931217,234.89924824759908,HAD
22,265.560864579612,275.36936606476195,OCO
23,286.59770696677816,297.5709775771758,OCO
24,297.9974217777778,315.28990607505875,OCO
