Minisector,VER,PIA,Fastest
0,271.48414440624555,272.47528071217397,PIA
1,296.5654916480808,296.3522386825397,VER
2,311.6037617579965,309.4643837962161,VER
3,318.0357378979744,318.9001666346667,PIA
4,322.3868590993007,323.6995715311746,PIA
5,323.89579476389343,327.1017658514285,PIA
6,194.50472123500995,214.09882807404915,PIA
7,107.11940648909771,104.10304246346958,VER
8,184.9400874999034,183.22607886628572,VER
9,259.994010689801,257.34902167987286,VER
10,289.2889396997442,288.44955030944993,VER
11,169.96066052568543,155.91794821418236,VER
12,100.76607765938321,95.85918466106848,VER
13,114.53758203985608,112.03069423696478,VER
14,220.4414608795228,213.9511634266991,VER
15,188.2417106070226,182.89110347371772,VER
16,223.89554622713754,220.0827479005789,VER
17,176.82495946481052,169.60053806888183,VER
18,234.51729000973543,239.17557481781864,PIA
19,273.9344899063168,278.14443797557425,PIA
20,241.36229764571428,241.14718565015875,VER
21,144.87592633223778,137.67686063950984,VER
22,95.70110987911364,93.44639270032302,VER
23,124.88632413370064,116.43993681339339,VER
24,222.994038631101,221.83885525405174,VER
25,254.52142994285714,,VER
