Minisector,PER,HUL,Fastest
0,244.06300834690552,247.59562375086077,HUL
1,281.25199186463493,285.7330722521212,HUL
2,192.42798044940804,178.2430277804277,PER
3,147.23223799673187,160.97077972577728,HUL
4,255.59912771493396,259.4416705010563,HUL
5,274.6145616563348,276.2485321169474,HUL
6,241.0714524229308,237.12452336575262,PER
7,207.78288657607916,209.95975845757374,HUL
8,159.7465431028751,158.51555443931306,PER
9,211.45273358058927,209.29963517328787,PER
10,268.56846320666665,271.8456297736989,HUL
11,137.8699418410149,131.97001042362317,PER
12,205.51460904607083,198.6455375120512,PER
13,272.452110777947,271.48159291455306,PER
14,296.3744286648575,296.2158875214302,PER
15,306.8057967541418,305.94117744726725,PER
16,246.99575965714288,263.1878425438526,HUL
17,133.5770092975014,123.09055995426866,PER
18,125.98828890454774,127.46927943382552,HUL
19,120.36875553736654,123.95593959997804,HUL
20,221.91555266859564,214.70390886423658,PER
21,258.57495148227963,258.74030212476146,HUL
22,245.3281913171236,259.5123762962567,HUL
23,218.5307418223244,214.11475056609524,PER
24,140.8225215040453,141.45587866732265,HUL
25,,206.05448149333333,HUL
