Minisector,STR,OCO,Fastest
0,273.11824626785017,271.0925075177853,STR
1,111.8508556330629,108.92102209072448,STR
2,158.01597116300687,158.5015679567075,OCO
3,207.24954063641388,201.6378395654321,STR
4,151.30111453856208,154.05261206284104,OCO
5,239.83702935188407,235.80102257689518,STR
6,203.6518092021134,173.94433168253968,STR
7,118.78988989851551,131.99769642200926,OCO
8,228.47500057076022,235.18349381079366,OCO
9,273.87213548696207,281.5616530831704,OCO
10,289.28921693121697,278.90089189714286,STR
11,146.89405205202436,143.05687145933024,STR
12,222.54687206415457,220.7451821313964,STR
13,272.46999850978705,271.83120638502925,STR
14,265.2705952,264.6170206255606,STR
15,98.15464994305583,99.07713747259615,OCO
16,212.50441943434345,218.24471596701474,OCO
17,269.6855503749859,268.56587695157896,STR
18,290.17005664089277,299.93290494227995,OCO
19,301.2609166613653,314.907985148052,OCO
20,306.88204628913127,323.8855215603313,OCO
21,287.80546218487393,278.97798326607045,STR
22,144.675918495832,145.76984007073503,OCO
23,229.7261644135968,226.5186664100391,STR
24,273.64593276613755,279.47878906666665,OCO
25,283.7875008,285.0,OCO
