Minisector,VER,RAI,Fastest
0,295.6469376690346,288.7345348011093,VER
1,294.34543497751827,291.2071247091154,VER
2,163.3683627802696,157.29858570489893,VER
3,231.61299658510347,227.26626804789015,VER
4,285.3041881117747,273.42578832673956,VER
5,310.89285714285717,292.73939270747366,VER
6,315.4478175085714,296.9057706026388,VER
7,153.44937051233617,157.1278026231429,RAI
8,139.5736872338697,140.29674531621,RAI
9,255.37229185969153,250.6214811336789,VER
10,294.7923038701586,282.69932324571346,VER
11,303.8966836353742,293.6777777777778,VER
12,144.3600900478518,153.98645010082495,RAI
13,200.27284715135087,193.82210488355375,VER
14,252.42915867509112,255.6132077351212,RAI
15,205.65380179199022,196.03644933220244,VER
16,224.10958825578683,215.42219592803812,VER
17,214.69877245193706,207.91381530860295,VER
18,247.31364423701203,242.96700372691177,VER
19,279.14446917176855,273.90061236349885,VER
20,294.2133673403535,290.4170992277373,VER
21,262.16638193331664,257.9600672655084,VER
22,227.6765764259149,224.34625148661056,VER
23,217.24213655084196,200.6512214932817,VER
24,269.21352089678385,258.32949781971604,VER
25,284.55000106666665,279.19166666666666,VER
