Minisector,NOR,PER,Fastest
0,248.53229158445055,244.06300834690552,NOR
1,284.5552550257143,281.25199186463493,NOR
2,182.14633417646465,192.42798044940804,PER
3,153.30806610445183,151.51777342546274,NOR
4,261.097549408,257.3829027957357,NOR
5,274.52409983546636,274.09305897562456,NOR
6,237.77992570675886,240.20951051984804,PER
7,209.18111114697538,207.78288657607916,NOR
8,156.20901645022997,159.77868302331422,PER
9,223.114830671746,214.60756114472716,NOR
10,276.50531891022223,269.7147132333333,NOR
11,131.56129717231647,134.46577647527647,PER
12,210.6258882113805,213.98693060035657,PER
13,275.89795634511495,273.9423026668513,NOR
14,296.6498837135238,296.3744286648575,NOR
15,306.7480891853447,306.8057967541418,PER
16,255.75828456445598,237.33075872157536,NOR
17,127.80233988392048,133.71785042958595,PER
18,127.58832260250706,126.9512859426287,NOR
19,122.51009147367253,118.95872659637506,NOR
20,226.21388374432212,222.6426025765751,NOR
21,261.6433610091629,259.9720589202962,NOR
22,247.49850055864073,240.1042757856508,NOR
23,224.64217208724273,218.05019268976088,NOR
24,137.34391198437115,140.47757881095544,PER
25,217.0,,NOR
