Minisector,HAM,BOT,Fastest
0,306.55516672,310.2617119890284,BOT
1,244.72568286664665,239.06388806464645,HAM
2,135.92056517371387,131.43012905584038,HAM
3,239.09734003333332,239.39502618108074,BOT
4,191.5466026073486,186.1225261000414,HAM
5,242.11861986666668,245.18364762891795,BOT
6,228.5845399313202,226.9534308126713,HAM
7,258.49302015844535,257.45486147555556,HAM
8,288.05969179234694,293.43427445144323,BOT
9,218.3721824152341,205.3479159338346,HAM
10,208.16594660250627,205.6702754978918,HAM
11,272.3344125177027,275.06615367356324,BOT
12,219.6377375085714,209.85125696344713,HAM
13,250.21031565460203,254.6679545661147,BOT
14,292.6909800439561,295.08194839262194,BOT
15,307.8405449846154,311.7041299741258,BOT
16,306.10966660266666,314.5069789740865,BOT
17,238.87768602428605,225.83733500656157,HAM
18,270.2083335727891,270.6281182010655,BOT
19,300.14591555076,305.5415065435898,BOT
20,308.13480951466664,321.28228377091966,BOT
21,299.37506847949874,318.41173092698415,BOT
22,160.58745903726702,149.24616158028226,HAM
23,238.43445019506885,242.26609474741295,BOT
24,290.2615415473711,301.13125856494224,BOT
25,302.4,,HAM
