Minisector,VER,SAI,Fastest
0,273.947953344708,272.4310604121212,VER
1,291.019815470183,289.91052706505246,VER
2,293.6747806877193,288.2929672281157,VER
3,130.62045619950626,124.42066075065213,VER
4,208.45948949976955,209.7150908162014,SAI
5,256.27893631126193,251.33371275497836,VER
6,145.8979971920672,142.83625244181744,VER
7,215.34868005788624,220.21770751111112,SAI
8,262.5533220450241,262.31684714970953,VER
9,278.42562358276643,277.62458362666666,VER
10,238.25543756516055,241.55828203539616,SAI
11,180.64208451136304,176.8569872488808,VER
12,206.48581318914748,207.31587002167578,SAI
13,147.94946427069982,140.66202301333334,VER
14,182.90410776231607,187.83757341512236,SAI
15,170.6451434446747,171.84203825238095,SAI
16,226.60509500621032,234.54912075185925,SAI
17,235.0408841071217,234.22264594978353,VER
18,247.78403716017317,251.83666063340888,SAI
19,234.25598787515085,196.84654301264115,VER
20,149.52346903368402,160.93928183452755,SAI
21,135.11526342975137,124.3898114828263,VER
22,181.03250778870495,181.83776853333333,SAI
23,156.53789693555404,161.0259854596355,SAI
24,237.8038646148185,241.70594298039214,SAI
