Minisector,NOR,LIN,Fastest
0,313.5736986952381,320.5355003984282,LIN
1,325.0309050238924,346.64175545655104,LIN
2,328.80571187364853,351.8343809097143,LIN
3,311.2959844667086,320.4592025163655,LIN
4,153.21457027897125,144.4424787184724,NOR
5,186.96741846683727,178.45041142866685,NOR
6,215.70278098359734,208.92376173006704,NOR
7,259.9000531917133,257.9051563429928,NOR
8,239.30238606335382,245.47961335749932,LIN
9,151.84465550314243,144.2500985179663,NOR
10,203.91181028313167,205.4096808308463,LIN
11,127.45558598008023,122.25686649521307,NOR
12,233.47535400173163,228.39883223664344,NOR
13,157.94977806843744,164.14497496356145,LIN
14,214.982941925409,202.19866248383252,NOR
15,224.98058220638583,211.84613126231645,NOR
16,261.55091306046336,256.65555102725745,NOR
17,289.87261416605827,290.5024476916237,LIN
18,152.80607710866428,138.6061786015207,NOR
19,159.79168227772035,148.7044731742219,NOR
20,135.69075947582638,126.3619879917922,NOR
21,226.5600036832368,216.7907879351836,NOR
22,248.86791534488438,250.84327292321947,LIN
23,233.92192038780385,227.80582017345822,NOR
24,283.71088370022534,282.42895948952383,NOR
