Minisector,BOT,ERI,Fastest
0,256.481769,250.33742716034314,BOT
1,296.40175939229124,283.2241666666667,BOT
2,171.2435415292517,174.8501399711213,ERI
3,163.7084350626114,158.06572681704262,BOT
4,258.6760820107418,255.01754067623688,BOT
5,273.78484970596315,268.7564935064935,BOT
6,237.6211324888889,229.58899387592584,BOT
7,207.9268261595041,202.74638752052545,BOT
8,159.50970758714712,162.17708359917557,ERI
9,217.03105591794872,207.9191758367347,BOT
10,273.49385971618165,267.5849754810052,BOT
11,128.158428178751,133.51857623274935,ERI
12,217.76254759033176,205.00401862857143,BOT
13,278.55001499829916,270.5566962805377,BOT
14,301.21747205445655,292.56446438095236,BOT
15,310.7990738962963,300.53750016,BOT
16,242.14310117244514,240.57790552938968,BOT
17,128.2381209109731,129.4075238695561,ERI
18,129.70193928965548,127.57833066584253,BOT
19,117.45668926700671,119.53257757374547,ERI
20,229.716722176,221.5488862217691,BOT
21,254.95727704962718,253.53972061131446,BOT
22,235.99316714666668,240.56599799466665,ERI
23,215.51879059878047,209.1129286126683,BOT
24,137.73660529664656,131.6222277355174,BOT
25,,214.52812853333333,ERI
