Minisector,PER,SAI,Fastest
0,302.15717588148146,307.5682278558968,SAI
1,249.50503154714315,240.39563565263092,PER
2,140.8478406890479,136.1992543633797,PER
3,219.44225071637405,219.88658066470202,SAI
4,265.31432513372295,264.54824656842106,PER
5,290.12499976296294,290.4165309317013,SAI
6,303.66064859259257,304.28921568627453,SAI
7,277.0922622678848,293.312497362963,SAI
8,185.1457819505863,178.27445909891628,PER
9,247.1452399238095,240.55181286956523,PER
10,277.0095116494623,274.3627721270065,PER
11,268.9724078943882,267.8929155733333,PER
12,215.71483323733332,206.52243573333334,PER
13,134.7201892020364,126.61666980721641,PER
14,129.54633823206927,125.70448554998273,PER
15,175.24741599868082,163.45678747142858,PER
16,127.53222354636063,125.32605401292342,PER
17,232.2361063404939,230.54166784927537,PER
18,191.0186381453277,183.26805312711113,PER
19,167.4222860810545,159.25837248095237,PER
20,249.16944365714286,245.347081347483,PER
21,276.9391696679929,274.5354172266667,PER
22,291.79421009634,291.64828095999997,PER
23,296.8173941333333,301.44976865185185,SAI
24,300.7029411764706,305.4365741037037,SAI
25,300.3666666666667,,PER
