Minisector,NOR,LAW,Fastest
0,261.47085352893544,253.91330740500052,NOR
1,133.51817734544218,132.23555669093906,NOR
2,269.11954775254486,265.87220034552115,NOR
3,311.4376052649908,309.1704940309286,NOR
4,311.3550504740135,308.3874570910476,NOR
5,318.5697863936811,316.97304530428147,NOR
6,322.4405493236364,321.19999995555554,NOR
7,322.63138014444445,316.4749066257396,NOR
8,206.7935901084543,202.39098846753248,NOR
9,206.78338295042363,202.98742857959118,NOR
10,182.38227859868888,189.9298174087251,LAW
11,175.07705791865695,167.8964091330226,NOR
12,261.15019059739797,255.33410617523808,NOR
13,279.72437348988717,275.640773905391,NOR
14,289.9162849608211,280.5273847734647,NOR
15,275.8337330697143,266.30874975404043,NOR
16,183.713801623908,177.15618656359132,NOR
17,200.59279342886174,196.85890548522042,NOR
18,251.33790225710763,242.5292338178522,NOR
19,293.9617247294092,290.6965977894016,NOR
20,313.3696037288312,310.88664120242424,NOR
21,318.01344698181816,316.2388816628916,NOR
22,316.221627015873,312.73862478061614,NOR
23,264.7231916551661,271.211992160154,LAW
24,115.48445805697901,121.82398165335286,LAW
25,231.36249813333333,227.49999542857142,NOR
