Minisector,LEC,RAI,Fastest
0,295.8840655353868,310.4549879630871,RAI
1,304.6342263957672,329.70736184597007,RAI
2,297.4296431197884,304.6218877633773,RAI
3,115.48915027844048,110.55295672080038,LEC
4,230.65071724045123,224.48810461851264,LEC
5,269.8171942850506,273.00391349052455,RAI
6,217.8868947031759,216.1756958066674,LEC
7,169.17467147345585,163.6100561852403,LEC
8,204.84270441587952,193.99650234573812,LEC
9,222.1117505523845,209.96435455764728,LEC
10,117.75683213334308,113.8179434608263,LEC
11,235.6302047239898,228.44175552713492,LEC
12,120.21018216868191,117.68873545503041,LEC
13,228.35918829174292,229.66816457181724,RAI
14,276.6785488635118,283.42205704781276,RAI
15,223.17121735446267,206.49741998755533,LEC
16,205.17751295218915,194.40885241007234,LEC
17,259.46097751881905,254.22539010632755,LEC
18,208.18437884634196,197.72968954275524,LEC
19,187.81926435139164,180.22745559396174,LEC
20,273.47341670703736,269.8991654102331,LEC
21,297.4959279932571,295.05931664085244,LEC
22,173.79722414151766,156.97209159006184,LEC
23,216.70313113560266,211.43833422118715,LEC
24,275.5222917831382,280.0397088137362,RAI
