Minisector,NOR,BEA,Fastest
0,276.7919076738047,273.5196300026029,NOR
1,304.9420166385331,300.60378213046386,NOR
2,326.828500288,312.46034258924624,NOR
3,337.64786259369316,318.66212133384613,NOR
4,342.8985161717223,320.04359188730075,NOR
5,332.93226994285715,322.07166666039217,NOR
6,199.20517228281903,205.36284734529497,BEA
7,104.99104154798648,106.68165921309928,BEA
8,184.7313488740736,193.55593358810208,BEA
9,265.0740521592053,261.708039290409,NOR
10,296.8272424242017,286.908188865641,NOR
11,174.6294152588297,173.89216477027026,NOR
12,94.19385986891909,97.32589226129848,BEA
13,113.74860598104249,116.2289758404559,BEA
14,219.49370758023755,225.0142521137866,BEA
15,187.55972817299443,189.38490469617395,BEA
16,216.14825559706287,225.25425928301513,BEA
17,177.1368171376837,182.11232152220552,BEA
18,241.12307072593526,233.00911965133443,NOR
19,279.12743056911296,275.96737356817926,NOR
20,240.69177118423744,264.09925032980817,BEA
21,147.56759118032193,149.71392550264892,BEA
22,96.67633837765844,94.68244101454137,NOR
23,124.56959279406766,126.06640878873333,BEA
24,233.48297097396065,220.33852527310657,NOR
25,,255.3624976,BEA
