Minisector,VET,SAI,Fastest
0,258.3620213424225,260.28247398717394,SAI
1,224.00591566451615,221.74236844226505,VET
2,143.12053329619067,145.59160489876544,SAI
3,240.79323892789117,242.85488040257775,SAI
4,270.05471066174704,269.954736952381,VET
5,181.84850924684685,176.88178881058042,VET
6,98.38480412894181,97.80535293312215,VET
7,133.45112823479107,137.40513170655933,SAI
8,247.86990255824654,252.19520579164833,SAI
9,169.21052359859297,163.02027158806328,VET
10,181.76800072099422,188.3371515061724,SAI
11,252.09341684627762,259.3631305640325,SAI
12,235.55208342857142,249.63840436043955,SAI
13,256.3821808924276,267.27024791500406,SAI
14,278.92789815652174,286.80199257971015,SAI
15,275.49950237866665,271.67275505397515,VET
16,138.9142322962225,139.90053427388452,SAI
17,233.4971306694828,235.88183149151996,SAI
18,277.15344139130434,278.6724635826087,SAI
19,286.3624999884058,288.90346787246375,SAI
20,289.20961798222226,292.0286457777778,SAI
21,294.04242424242426,293.10031570101006,VET
22,150.2025963996681,141.32373633015874,VET
23,81.45244819756738,84.49801613404672,SAI
24,165.34307497895534,169.7878197059829,SAI
25,240.7874976,,VET
