Minisector,NOR,HUL,Fastest
0,308.7483833936842,307.83250756471676,NOR
1,237.4555419954978,246.9282142857143,HUL
2,131.60708444437446,127.47688337372176,NOR
3,221.2294575021068,216.75039285714288,NOR
4,263.19557973620965,261.9404370443476,NOR
5,293.0485408498997,287.40245535714286,NOR
6,306.88244428800004,303.65208333333334,NOR
7,288.16145854306876,303.76447601122914,HUL
8,173.43759604512823,173.18752727272727,NOR
9,231.95171803999997,235.7610755683969,HUL
10,274.4481729974026,270.8424970345295,NOR
11,273.2396708888889,273.68659226190476,HUL
12,211.98770985165945,207.72053744927535,NOR
13,126.42347701655558,127.78372612565782,HUL
14,117.87658424792463,119.93118858453442,HUL
15,169.6493225075132,171.48296439464644,HUL
16,118.69253342520058,120.28697424314255,HUL
17,225.2692024204287,221.18839276461136,NOR
18,198.59803118814816,186.8784421741564,NOR
19,158.43176916292776,154.3465300775585,NOR
20,245.67524404994708,242.14686716791982,NOR
21,274.37428763247027,273.2060884246726,NOR
22,291.2295903756254,292.00417748506237,HUL
23,301.0652677942857,310.4589285714286,HUL
24,306.87479513801935,319.820030434388,HUL
25,,320.06041653333335,HUL
